file,class,type,cbo,lcom
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\Image.java,org.openpdf.text.Image$ImageType,enum,3,1
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-renderer\src\main\java\org\openpdf\renderer\action\UriAction.java,org.openpdf.renderer.action.UriAction,class,3,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\PdfPublicKeySecurityHandler.java,org.openpdf.text.pdf.PdfPublicKeySecurityHandler,class,22,4
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\test\java\org\openpdf\text\html\EmbeddedImageTest.java,org.openpdf.text.html.EmbeddedImageTest,class,6,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-toolbox\src\test\java\org\openpdf\examples\RunAll.java,org.openpdf.examples.RunAll,class,0,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\parser\PdfContentStreamHandler.java,org.openpdf.text.pdf.parser.PdfContentStreamHandler$TextMoveStartNextLine,innerclass,6,1
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-toolbox\src\test\java\org\openpdf\examples\directcontent\coordinates\XandYcoordinates.java,org.openpdf.examples.directcontent.coordinates.XandYcoordinates,class,5,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\swing\CursorListener.java,org.openpdf.swing.CursorListener,class,4,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\render\FloatedBoxData.java,org.openpdf.render.FloatedBoxData,class,4,9
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-toolbox\src\test\java\org\openpdf\examples\directcontent\colors\TableCellTransparency.java,org.openpdf.examples.directcontent.colors.TableCellTransparency,class,13,3
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\PdfMediaClipData.java,org.openpdf.text.pdf.PdfMediaClipData,class,4,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-renderer\src\main\java\org\openpdf\renderer\font\ttf\Glyf.java,org.openpdf.renderer.font.ttf.Glyf,class,3,120
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-toolbox\src\test\java\org\openpdf\examples\objects\tables\alternatives\NestedTables.java,org.openpdf.examples.objects.tables.alternatives.NestedTables,class,4,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\BarcodeDatamatrix.java,org.openpdf.text.pdf.BarcodeDatamatrix$DmParams,innerclass,0,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\render\MarkerData.java,org.openpdf.render.MarkerData$TextMarker,innerclass,1,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\render\InlineBox.java,org.openpdf.render.InlineBox,class,18,550
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\utils\PdfBatch.java,org.openpdf.text.utils.PdfBatch$BatchResult,innerclass,2,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-renderer\src\main\java\org\openpdf\renderer\PDFImageParseException.java,org.openpdf.renderer.PDFImageParseException,class,0,1
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\CFFFont.java,org.openpdf.text.pdf.CFFFont$UInt8Item,innerclass,3,1
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\parser\PdfContentStreamHandler.java,org.openpdf.text.pdf.parser.PdfContentStreamHandler$TextMoveNextLine,innerclass,7,1
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\css\newmatch\Condition.java,org.openpdf.css.newmatch.Condition$IDCondition,innerclass,4,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\Anchor.java,org.openpdf.text.Anchor,class,6,92
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\codec\CCITTG4Encoder.java,org.openpdf.text.pdf.codec.CCITTG4Encoder,class,4,66
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\css\style\derived\ColorValue.java,org.openpdf.css.style.derived.ColorValue,class,4,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\test\java\org\openpdf\text\xml\simpleparser\SimpleXMLParserTest.java,org.openpdf.text.xml.simpleparser.SimpleXMLParserTest$TestHandler,innerclass,1,17
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-toolbox\src\main\java\org\openpdf\toolbox\plugins\Encrypt.java,org.openpdf.toolbox.plugins.Encrypt,class,11,15
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-renderer\src\main\java\org\openpdf\renderer\PDFParser.java,org.openpdf.renderer.PDFParser$ParserState,innerclass,3,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-toolbox\src\test\java\org\openpdf\examples\fonts\styles\Vertical.java,org.openpdf.examples.fonts.styles.Vertical,class,9,1
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\context\StyleReference.java,org.openpdf.context.StyleReference,class,25,5
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\css\newmatch\Condition.java,org.openpdf.css.newmatch.Condition$AttributeSuffixCondition,innerclass,1,1
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\pdf\TrueTypeUtil.java,org.openpdf.pdf.TrueTypeUtil,class,12,34
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\parser\PdfContentStreamHandler.java,org.openpdf.text.pdf.parser.PdfContentStreamHandler$SetTextRise,innerclass,6,1
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-toolbox\src\test\java\org\openpdf\examples\objects\chunk\Rendering.java,org.openpdf.examples.objects.chunk.Rendering,class,3,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-renderer\src\main\java\org\openpdf\renderer\function\postscript\operation\Floor.java,org.openpdf.renderer.function.postscript.operation.Floor,class,1,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-renderer\src\main\java\org\openpdf\renderer\font\ttf\GlyfTable.java,org.openpdf.renderer.font.ttf.GlyfTable,class,6,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\BarcodePostnet.java,org.openpdf.text.pdf.BarcodePostnet,class,6,10
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\test\java\org\openpdf\text\factories\GreekAlphabetFactoryTest.java,org.openpdf.text.factories.GreekAlphabetFactoryTest,class,2,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\css\parser\property\PrimitivePropertyBuilders.java,org.openpdf.css.parser.property.PrimitivePropertyBuilders$Length,innerclass,8,1
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-toolbox\src\test\java\org\openpdf\examples\fonts\GlyphLayoutDocumentWithImage.java,org.openpdf.examples.fonts.GlyphLayoutDocumentWithImage,class,6,3
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\pdf\TextFormField.java,org.openpdf.pdf.TextFormField,class,22,41
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-toolbox\src\test\java\org\openpdf\examples\directcontent\optionalcontent\ContentGroups.java,org.openpdf.examples.directcontent.optionalcontent.ContentGroups,class,11,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\css\parser\property\PrimitivePropertyBuilders.java,org.openpdf.css.parser.property.PrimitivePropertyBuilders$LengthLikeWithNone,innerclass,2,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\extend\UserAgentCallback.java,org.openpdf.extend.UserAgentCallback,interface,5,28
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\AcroFields.java,org.openpdf.text.pdf.AcroFields,class,55,1618
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-toolbox\src\test\java\org\openpdf\examples\directcontent\colors\SoftMask.java,org.openpdf.examples.directcontent.colors.SoftMask,class,6,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\CFFFont.java,org.openpdf.text.pdf.CFFFont$UInt32Item,innerclass,3,1
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\xml\xmp\PdfA1Schema.java,org.openpdf.text.xml.xmp.PdfA1Schema,class,2,3
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\css\parser\property\PrimitivePropertyBuilders.java,org.openpdf.css.parser.property.PrimitivePropertyBuilders$Width,innerclass,1,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\context\ContentFunctionFactory.java,org.openpdf.context.ContentFunctionFactory,class,9,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\parser\PdfContentStreamHandler.java,org.openpdf.text.pdf.parser.PdfContentStreamHandler$BeginMarkedDict,innerclass,9,3
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\parser\PdfContentStreamHandler.java,org.openpdf.text.pdf.parser.PdfContentStreamHandler$SetTextRenderMode,innerclass,6,1
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\swing\DOMInspector.java,org.openpdf.swing.ElementPropertiesPanel,class,7,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-renderer\src\main\java\org\openpdf\renderer\function\postscript\operation\True.java,org.openpdf.renderer.function.postscript.operation.True,class,1,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-renderer\src\main\java\org\openpdf\renderer\PDFImage.java,org.openpdf.renderer.PDFImage$DecodeComponentColorModel,innerclass,4,6
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\ByteBuffer.java,org.openpdf.text.pdf.ByteBuffer,class,6,256
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\render\TextDecoration.java,org.openpdf.render.TextDecoration,class,1,9
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\PdfSmartCopy.java,org.openpdf.text.pdf.PdfSmartCopy,class,14,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\RadioCheckField.java,org.openpdf.text.pdf.RadioCheckField,class,13,48
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\css\parser\property\PrimitivePropertyBuilders.java,org.openpdf.css.parser.property.PrimitivePropertyBuilders$MarginTop,innerclass,1,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-swing\src\main\java\org\openpdf\rups\view\Console.java,org.openpdf.rups.view.Console$ReadWriteThread,innerclass,1,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\layout\BoxBuilder.java,org.openpdf.layout.BoxBuilder,class,45,699
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\test\java\org\openpdf\text\html\WebColorsTest.java,org.openpdf.text.html.WebColorsTest,class,2,136
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\css\parser\property\PrimitivePropertyBuilders.java,org.openpdf.css.parser.property.PrimitivePropertyBuilders$FSPageSequence,innerclass,2,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\css\parser\property\PrimitivePropertyBuilders.java,org.openpdf.css.parser.property.PrimitivePropertyBuilders$BackgroundAttachment,innerclass,1,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\layout\BoxBuilder.java,org.openpdf.layout.BoxBuilder$MarginDirection,enum,0,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\PdfSignatureAppearance.java,org.openpdf.text.pdf.PdfSignatureAppearance,class,43,2240
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\DefaultFontMapper.java,org.openpdf.text.pdf.DefaultFontMapper$BaseFontParameters,innerclass,1,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\internal\PolylineShapeIterator.java,org.openpdf.text.pdf.internal.PolylineShapeIterator,class,5,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-toolbox\src\main\java\org\openpdf\toolbox\plugins\XML2Bookmarks.java,org.openpdf.toolbox.plugins.XML2Bookmarks,class,7,15
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\test\java\org\openpdf\css\parser\ParserTest.java,org.openpdf.css.parser.ParserTest,class,8,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-toolbox\src\test\java\org\openpdf\toolbox\plugins\watermarker\WatermarkerTest.java,org.openpdf.toolbox.plugins.watermarker.WatermarkerTest,class,3,1
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\swing\DOMInspector.java,org.openpdf.swing.DOMTreeCellRenderer,class,2,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-toolbox\src\test\java\org\openpdf\examples\objects\anchors\NamedActions.java,org.openpdf.examples.objects.anchors.NamedActions,class,6,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\render\PageBox.java,org.openpdf.render.PageBox$TopRightCorner,innerclass,6,3
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\css\parser\property\PrimitivePropertyBuilders.java,org.openpdf.css.parser.property.PrimitivePropertyBuilders$BorderLeftColor,innerclass,1,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\PageResources.java,org.openpdf.text.pdf.PageResources,class,8,47
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\resource\CSSResource.java,org.openpdf.resource.CSSResource,class,2,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\test\java\org\openpdf\swing\NaiveUserAgentTest.java,org.openpdf.swing.NaiveUserAgentTest,class,3,6
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\hyphenation\HyphenationTree.java,org.openpdf.text.pdf.hyphenation.HyphenationTree,class,10,45
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\test\java\org\openpdf\text\pdf\ProcSetTest.java,org.openpdf.text.pdf.ProcSetTest,class,4,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\layout\breaker\Breaker.java,org.openpdf.layout.breaker.Breaker,class,19,34
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\test\java\org\openpdf\text\pdf\PdfCopyTest.java,org.openpdf.text.pdf.PdfCopyTest,class,4,1
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\swing\DelegatingUserAgent.java,org.openpdf.swing.DelegatingUserAgent,class,14,111
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-toolbox\src\test\java\org\openpdf\examples\forms\FormRadioButton.java,org.openpdf.examples.forms.FormRadioButton,class,6,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\resource\XMLResource.java,org.openpdf.resource.XMLResource$XMLReaderPool,innerclass,9,21
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\css\parser\property\PrimitivePropertyBuilders.java,org.openpdf.css.parser.property.PrimitivePropertyBuilders$LetterSpacing,innerclass,1,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\PdfString.java,org.openpdf.text.pdf.PdfString,class,10,29
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-renderer\src\main\java\org\openpdf\renderer\decode\FlateDecode.java,org.openpdf.renderer.decode.FlateDecode,class,4,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-renderer\src\main\java\org\openpdf\renderer\function\postscript\operation\IfElse.java,org.openpdf.renderer.function.postscript.operation.IfElse,class,1,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-toolbox\src\main\java\org\openpdf\toolbox\plugins\ReversePages.java,org.openpdf.toolbox.plugins.ReversePages,class,10,13
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\css\style\Length.java,org.openpdf.css.style.Length$LengthType,enum,0,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\SignatureType.java,org.openpdf.text.pdf.SignatureType,enum,0,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-renderer\src\main\java\org\openpdf\renderer\decrypt\PDFPassword.java,org.openpdf.renderer.decrypt.PDFPassword,class,7,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-toolbox\src\test\java\org\openpdf\examples\objects\columns\MultiColumnIrregular.java,org.openpdf.examples.objects.columns.MultiColumnIrregular,class,6,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-swing\src\main\java\org\openpdf\rups\view\itext\XRefTable.java,org.openpdf.rups.view.itext.XRefTable,class,9,11
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-renderer\src\main\java\org\openpdf\renderer\function\postscript\operation\Sub.java,org.openpdf.renderer.function.postscript.operation.Sub,class,1,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-renderer\src\main\java\org\openpdf\renderer\font\ttf\NameTable.java,org.openpdf.renderer.font.ttf.NameTable,class,3,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-toolbox\src\test\java\org\openpdf\examples\objects\DifferentFonts.java,org.openpdf.examples.objects.DifferentFonts,class,4,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\css\parser\property\OneToFourPropertyBuilders.java,org.openpdf.css.parser.property.OneToFourPropertyBuilders$BorderRadius,innerclass,3,1
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-swing\src\main\java\org\openpdf\rups\model\Permissions.java,org.openpdf.rups.model.Permissions,class,1,23
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\css\extend\ContentFunction.java,org.openpdf.css.extend.ContentFunction,interface,4,10
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\simple\extend\URLUTF8Encoder.java,org.openpdf.simple.extend.URLUTF8Encoder,class,1,1
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\test\java\org\openpdf\text\pdf\AcroFieldsTest.java,org.openpdf.text.pdf.AcroFieldsTest,class,7,1
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\context\ContentFunctionFactory.java,org.openpdf.context.ContentFunctionFactory$PageCounterFunction,innerclass,8,1
C:\JavaProjects\OpenPDF-master\OpenPDF-master\pdf-toolbox\src\test\java\org\openpdf\examples\objects\bookmarks\Layers.java,org.openpdf.examples.objects.bookmarks.Layers,class,11,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\css\parser\property\PrimitivePropertyBuilders.java,org.openpdf.css.parser.property.PrimitivePropertyBuilders$FontVariant,innerclass,1,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-renderer\src\main\java\org\openpdf\renderer\action\GoToEAction.java,org.openpdf.renderer.action.GoToEAction$GoToETarget,innerclass,1,29
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\test\java\org\openpdf\text\HeaderFooterTest.java,org.openpdf.text.HeaderFooterTest,class,11,15
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\test\java\org\openpdf\text\pdf\BaseFontTest.java,org.openpdf.text.pdf.BaseFontTest,class,4,6
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-renderer\src\main\java\org\openpdf\renderer\function\postscript\operation\PostScriptOperation.java,org.openpdf.renderer.function.postscript.operation.PostScriptOperation,interface,0,0
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-html\src\main\java\org\openpdf\swing\AWTFSImage.java,org.openpdf.swing.AWTFSImage$NullImage,innerclass,6,6
C:\JavaProjects\OpenPDF-master\OpenPDF-master\openpdf-core\src\main\java\org\openpdf\text\pdf\hyphenation\TernaryTree.java,org.openpdf.text.pdf.hyphenation.TernaryTree,class,4,53
