file,class,type,cbo,lcom
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\fabric-1.21.1\src\main\java\org\dynmap\fabric_1_21_1\FabricPlayer.java,org.dynmap.fabric_1_21_1.FabricPlayer,class,19,30
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\bukkit-helper-121-4\src\main\java\org\dynmap\bukkit\helper\v121_4\NBT.java,org.dynmap.bukkit.helper.v121_4.NBT$NBTCompound,innerclass,10,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\fabric-1.16.4\src\main\java\org\dynmap\fabric_1_16_4\event\BlockEvents.java,org.dynmap.fabric_1_16_4.event.BlockEvents$SignChangeCallback,interface,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\forge-1.15.2\src\main\java\org\dynmap\forge_1_15_2\ForgeWorld.java,org.dynmap.forge_1_15_2.ForgeWorld,class,13,55
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\forge-1.15.2\src\main\java\org\dynmap\forge_1_15_2\DynmapPlugin.java,org.dynmap.forge_1_15_2.DynmapCommand,class,2,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\bukkit-helper-116-2\src\main\java\org\dynmap\bukkit\helper\v116_2\BukkitVersionHelperSpigot116_2.java,org.dynmap.bukkit.helper.v116_2.BukkitVersionHelperSpigot116_2,class,24,198
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\bukkit-helper-120-4\src\main\java\org\dynmap\bukkit\helper\v120_4\NBT.java,org.dynmap.bukkit.helper.v120_4.NBT$OurBitStorage,innerclass,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\fabric-1.16.4\src\main\java\org\dynmap\fabric_1_16_4\command\DmapCommand.java,org.dynmap.fabric_1_16_4.command.DmapCommand,class,2,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\fabric-1.16.4\src\main\java\org\dynmap\fabric_1_16_4\FabricMapChunkCache.java,org.dynmap.fabric_1_16_4.FabricMapChunkCache,class,18,15
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\bukkit-helper-118-2\src\main\java\org\dynmap\bukkit\helper\v118_2\MapChunkCache118_2.java,org.dynmap.bukkit.helper.v118_2.MapChunkCache118_2,class,16,8
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\fabric-1.21\src\main\java\org\dynmap\fabric_1_21\event\PlayerEvents.java,org.dynmap.fabric_1_21.event.PlayerEvents,class,5,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\fabric-1.21.3\src\main\java\org\dynmap\fabric_1_21_3\mixin\ServerPlayNetworkHandlerMixin.java,org.dynmap.fabric_1_21_3.mixin.ServerPlayNetworkHandlerMixin,class,14,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\forge-1.18.2\src\main\java\org\dynmap\forge_1_18_2\NBT.java,org.dynmap.forge_1_18_2.NBT$OurBitStorage,innerclass,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\DynmapCore\src\main\java\org\dynmap\PlayerFaces.java,org.dynmap.PlayerFaces$FaceType,enum,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\spigot\src\main\java\org\dynmap\bukkit\Helper.java,org.dynmap.bukkit.Helper,class,2,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\bukkit-helper\src\main\java\org\dynmap\bukkit\helper\BukkitWorld.java,org.dynmap.bukkit.helper.BukkitWorld,class,13,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\spigot\src\main\java\org\dynmap\bukkit\SkinsRestorerSkinUrlProvider.java,org.dynmap.bukkit.SkinsRestorerSkinUrlProvider,class,6,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\forge-1.12.2\src\main\java\org\dynmap\forge_1_12_2\DynmapPlugin.java,org.dynmap.forge_1_12_2.DynmapPlugin$WorldBusyRecord,innerclass,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\DynmapCoreAPI\src\main\java\org\dynmap\modsupport\TextureFile.java,org.dynmap.modsupport.TextureFile,interface,1,15
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\dynmap\DynmapCore\src\main\java\org\dynmap\Component.java,org.dynmap.Component,class,2,3
