file,class,type,cbo,lcom
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\item\type\FishingRodItem.java,org.geysermc.geyser.item.type.FishingRodItem,class,7,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\BoatEntity.java,org.geysermc.geyser.entity.type.BoatEntity$BoatVariant,enum,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\properties\type\AbstractEnumProperty.java,org.geysermc.geyser.entity.properties.type.AbstractEnumProperty,interface,8,21
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\network\netty\LocalServerChannelWrapper.java,org.geysermc.geyser.network.netty.LocalServerChannelWrapper,class,5,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\level\block\type\BlockState.java,org.geysermc.geyser.level.block.type.BlockState,class,7,8
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\ap\src\main\java\org\geysermc\geyser\processor\PacketTranslatorProcessor.java,org.geysermc.geyser.processor.PacketTranslatorProcessor,class,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\api\src\main\java\org\geysermc\geyser\api\bedrock\camera\CameraFade.java,org.geysermc.geyser.api.bedrock.camera.CameraFade,interface,3,10
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\bootstrap\bungeecord\src\main\java\org\geysermc\geyser\platform\bungeecord\GeyserBungeePlugin.java,org.geysermc.geyser.platform.bungeecord.GeyserBungeePlugin,class,28,212
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\translator\level\block\entity\SpawnerBlockEntityTranslator.java,org.geysermc.geyser.translator.level.block.entity.SpawnerBlockEntityTranslator,class,13,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\item\type\BoatItem.java,org.geysermc.geyser.item.type.BoatItem,class,2,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\inventory\CartographyContainer.java,org.geysermc.geyser.inventory.CartographyContainer,class,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\extension\command\GeyserExtensionCommand.java,org.geysermc.geyser.extension.command.GeyserExtensionCommand$Builder$Anonymous1,anonymous,7,6
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\bootstrap\mod\src\main\java\org\geysermc\geyser\platform\mod\mixin\server\BlockPlaceMixin.java,org.geysermc.geyser.platform.mod.mixin.server.BlockPlaceMixin,class,13,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\common\src\main\java\org\geysermc\floodgate\util\LinkedPlayer.java,org.geysermc.floodgate.util.LinkedPlayer,class,4,4
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\scoreboard\display\score\PlayerlistDisplayScore.java,org.geysermc.geyser.scoreboard.display.score.PlayerlistDisplayScore,class,5,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\bootstrap\spigot\src\main\java\org\geysermc\geyser\platform\spigot\SpigotMetrics.java,org.geysermc.geyser.platform.spigot.SpigotMetrics,class,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\living\monster\raid\VindicatorEntity.java,org.geysermc.geyser.entity.type.living.monster.raid.VindicatorEntity,class,7,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\translator\protocol\java\JavaCustomPayloadTranslator.java,org.geysermc.geyser.translator.protocol.java.JavaCustomPayloadTranslator,class,17,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\command\defaults\HelpCommand.java,org.geysermc.geyser.command.defaults.HelpCommand,class,6,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\living\animal\VariantHolder.java,org.geysermc.geyser.entity.type.living.animal.VariantHolder,interface,8,15
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\living\SlimeEntity.java,org.geysermc.geyser.entity.type.living.SlimeEntity,class,6,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\command\defaults\QuickActionsCommand.java,org.geysermc.geyser.command.defaults.QuickActionsCommand,class,3,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\entity\type\living\animal\horse\LlamaEntity.java,org.geysermc.geyser.entity.type.living.animal.horse.LlamaEntity,class,11,6
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\bootstrap\standalone\src\main\java\org\geysermc\geyser\platform\standalone\gui\ANSIColor.java,org.geysermc.geyser.platform.standalone.gui.ANSIColor,enum,2,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\bootstrap\spigot\src\main\java\org\geysermc\geyser\platform\spigot\command\SpigotCommandRegistry.java,org.geysermc.geyser.platform.spigot.command.SpigotCommandRegistry,class,7,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\Geyser\core\src\main\java\org\geysermc\geyser\translator\protocol\java\level\JavaBlockUpdateTranslator.java,org.geysermc.geyser.translator.protocol.java.level.JavaBlockUpdateTranslator,class,11,3
