file,class,type,cbo,lcom
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\reflect\TypeToken.java,com.google.common.reflect.TypeToken$SimpleTypeToken,innerclass,2,0
C:\JavaProjects\guava-master\guava-master\guava-testlib\test\com\google\common\collect\testing\features\FeatureUtilTest.java,com.google.common.collect.testing.features.FeatureUtilTest$6Tester,innerclass,2,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\reflect\TypeTokenResolutionTest.java,com.google.common.reflect.TypeTokenResolutionTest$1ForTwoStageResolution,innerclass,2,0
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\graph\AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous2,anonymous,8,0
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\graph\AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous1,anonymous,7,6
C:\JavaProjects\guava-master\guava-master\guava-testlib\src\com\google\common\collect\testing\DerivedComparable.java,com.google.common.collect.testing.DerivedComparable,class,4,0
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\graph\AbstractBaseGraph.java,com.google.common.graph.AbstractBaseGraph$Anonymous3,anonymous,13,120
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\collect\FilteredKeyListMultimap.java,com.google.common.collect.FilteredKeyListMultimap,class,8,10
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\util\concurrent\CollectionFuture.java,com.google.common.util.concurrent.CollectionFuture,class,14,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\io\MultiInputStreamTest.java,com.google.common.io.MultiInputStreamTest$Anonymous3,anonymous,2,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\io\MultiInputStreamTest.java,com.google.common.io.MultiInputStreamTest$Anonymous1,anonymous,1,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\io\MultiInputStreamTest.java,com.google.common.io.MultiInputStreamTest$Anonymous5,anonymous,1,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\collect\SubMapMultimapAsMapImplementsMapTest.java,com.google.common.collect.SubMapMultimapAsMapImplementsMapTest,class,5,66
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\collect\FilteredBiMapTest.java,com.google.common.collect.FilteredBiMapTest,class,4,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\io\SourceSinkFactories.java,com.google.common.io.SourceSinkFactories$EmptyByteSourceFactory,innerclass,3,3
C:\JavaProjects\guava-master\guava-master\guava-testlib\src\com\google\common\collect\testing\testers\TestExceptions.java,com.google.common.collect.testing.testers.TestExceptions$SomeChainingException,innerclass,0,0
C:\JavaProjects\guava-master\guava-master\guava-testlib\src\com\google\common\testing\CollectorTester.java,com.google.common.testing.CollectorTester,class,9,0
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\collect\DenseImmutableTable.java,com.google.common.collect.DenseImmutableTable$ColumnMap,innerclass,9,10
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\util\concurrent\AbstractFutureState.java,com.google.common.util.concurrent.AbstractFutureState$AtomicHelper,innerclass,4,28
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\collect\ForwardingDequeTest.java,com.google.common.collect.ForwardingDequeTest$Anonymous1,anonymous,1,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\collect\ForwardingDequeTest.java,com.google.common.collect.ForwardingDequeTest$Anonymous2,anonymous,1,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\util\concurrent\AbstractScheduledServiceTest.java,com.google.common.util.concurrent.AbstractScheduledServiceTest,class,14,182
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\io\FilesTest.java,com.google.common.io.FilesTest$BadLengthFile,innerclass,0,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\io\SourceSinkFactory.java,com.google.common.io.SourceSinkFactory,interface,5,1
C:\JavaProjects\guava-master\guava-master\guava-testlib\src\com\google\common\collect\testing\testers\CollectionCreationTester.java,com.google.common.collect.testing.testers.CollectionCreationTester,class,10,3
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\primitives\ImmutableIntArrayTest.java,com.google.common.primitives.ImmutableIntArrayTest,class,25,741
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\graph\GraphMutationTest.java,com.google.common.graph.GraphMutationTest,class,11,6
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\collect\ImmutableSortedMultiset.java,com.google.common.collect.ImmutableSortedMultiset$SerializedForm,innerclass,7,0
C:\JavaProjects\guava-master\guava-master\guava-testlib\src\com\google\common\collect\testing\ListTestSuiteBuilder.java,com.google.common.collect.testing.ListTestSuiteBuilder$ReserializedListGenerator,innerclass,5,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\eventbus\outside\AnnotatedAndAbstractInSuperclassTest.java,com.google.common.eventbus.outside.AnnotatedAndAbstractInSuperclassTest,class,3,3
C:\JavaProjects\guava-master\guava-master\guava-testlib\src\com\google\common\collect\testing\testers\MapRemoveEntryTester.java,com.google.common.collect.testing.testers.MapRemoveEntryTester,class,6,28
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\collect\TreeBasedTableRowMapTailMapTest.java,com.google.common.collect.TreeBasedTableRowMapTailMapTest,class,5,10
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\graph\InvalidatableSet.java,com.google.common.graph.InvalidatableSet,class,5,0
C:\JavaProjects\guava-master\guava-master\guava-testlib\src\com\google\common\collect\testing\google\SetMultimapPutAllTester.java,com.google.common.collect.testing.google.SetMultimapPutAllTester,class,9,0
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\graph\ValueGraphBuilder.java,com.google.common.graph.ValueGraphBuilder,class,16,66
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\collect\HashBasedTableRowTest.java,com.google.common.collect.HashBasedTableRowTest,class,4,1
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\util\concurrent\AbstractFutureTest.java,com.google.common.util.concurrent.AbstractFutureTest$InterruptibleFuture,innerclass,1,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\util\concurrent\AbstractExecutionThreadServiceTest.java,com.google.common.util.concurrent.AbstractExecutionThreadServiceTest$ThrowOnStartUpService,innerclass,1,3
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\collect\AbstractMapBasedMultiset.java,com.google.common.collect.AbstractMapBasedMultiset,class,15,0
C:\JavaProjects\guava-master\guava-master\guava-testlib\test\com\google\common\testing\NullPointerTesterTest.java,com.google.common.testing.NullPointerTesterTest$FailTwoMixedArgsSecondArgDoesntThrowNpe,innerclass,2,0
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\collect\DiscreteDomain.java,com.google.common.collect.DiscreteDomain$LongDomain,innerclass,7,36
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\primitives\DoubleArrayAsListTest.java,com.google.common.primitives.DoubleArrayAsListTest$SampleDoubles,innerclass,1,0
C:\JavaProjects\guava-master\guava-master\guava-testlib\src\com\google\common\collect\testing\google\MultimapSizeTester.java,com.google.common.collect.testing.google.MultimapSizeTester,class,12,21
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\reflect\TypeTokenTest.java,com.google.common.reflect.TypeTokenTest$ToReproduceGenericSignatureFormatError$SubOuter$SubInner,innerclass,1,0
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\collect\EmptyImmutableListMultimap.java,com.google.common.collect.EmptyImmutableListMultimap,class,6,3
C:\JavaProjects\guava-master\guava-master\guava-tests\benchmark\com\google\common\hash\MessageDigestAlgorithmBenchmark.java,com.google.common.hash.MessageDigestAlgorithmBenchmark,class,7,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\collect\FluentIterableTest.java,com.google.common.collect.FluentIterableTest$Y,interface,0,0
C:\JavaProjects\guava-master\guava-master\guava-testlib\src\com\google\common\collect\testing\google\MultisetNavigationTester.java,com.google.common.collect.testing.google.MultisetNavigationTester$SubMultisetSpec$Anonymous4,anonymous,3,1
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\reflect\InvokableTest.java,com.google.common.reflect.InvokableTest$Anonymous6,anonymous,0,0
C:\JavaProjects\guava-master\guava-master\guava-testlib\src\com\google\common\collect\testing\google\MultisetNavigationTester.java,com.google.common.collect.testing.google.MultisetNavigationTester$SubMultisetSpec$Anonymous3,anonymous,3,1
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\collect\FluentIterableTest.java,com.google.common.collect.FluentIterableTest$X,interface,0,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\reflect\InvokableTest.java,com.google.common.reflect.InvokableTest$Anonymous7,anonymous,0,0
C:\JavaProjects\guava-master\guava-master\guava-testlib\src\com\google\common\collect\testing\google\MultisetNavigationTester.java,com.google.common.collect.testing.google.MultisetNavigationTester$SubMultisetSpec$Anonymous2,anonymous,3,1
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\reflect\InvokableTest.java,com.google.common.reflect.InvokableTest$Anonymous8,anonymous,0,0
C:\JavaProjects\guava-master\guava-master\guava-testlib\src\com\google\common\collect\testing\google\MultisetNavigationTester.java,com.google.common.collect.testing.google.MultisetNavigationTester$SubMultisetSpec$Anonymous1,anonymous,3,1
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\reflect\InvokableTest.java,com.google.common.reflect.InvokableTest$Anonymous9,anonymous,0,0
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\collect\ArrayTable.java,com.google.common.collect.ArrayTable$ColumnMap,innerclass,7,10
C:\JavaProjects\guava-master\guava-master\guava-testlib\test\com\google\common\testing\ClassSanityTesterTest.java,com.google.common.testing.ClassSanityTesterTest$BadSerializableFactory,innerclass,1,1
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\util\concurrent\FuturesGetChecked.java,com.google.common.util.concurrent.FuturesGetChecked$GetCheckedTypeValidatorHolder,innerclass,3,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\reflect\InvokableTest.java,com.google.common.reflect.InvokableTest$Anonymous2,anonymous,0,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\reflect\InvokableTest.java,com.google.common.reflect.InvokableTest$Anonymous3,anonymous,0,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\reflect\InvokableTest.java,com.google.common.reflect.InvokableTest$Anonymous4,anonymous,0,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\reflect\InvokableTest.java,com.google.common.reflect.InvokableTest$Anonymous5,anonymous,0,0
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\escape\Escapers.java,com.google.common.escape.Escapers$Builder,innerclass,7,6
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\cache\LocalCache.java,com.google.common.cache.LocalCache$Segment,innerclass,29,94
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\reflect\InvokableTest.java,com.google.common.reflect.InvokableTest$Anonymous1,anonymous,0,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\collect\ImmutableMapFloodingTest.java,com.google.common.collect.ImmutableMapFloodingTest$ConstructionPathway$Anonymous7,anonymous,1,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\graph\GraphEquivalenceTest.java,com.google.common.graph.GraphEquivalenceTest,class,10,0
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\collect\HashBiMap.java,com.google.common.collect.HashBiMap,class,22,296
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\collect\ImmutableMapFloodingTest.java,com.google.common.collect.ImmutableMapFloodingTest$ConstructionPathway$Anonymous5,anonymous,0,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\collect\ImmutableMapFloodingTest.java,com.google.common.collect.ImmutableMapFloodingTest$ConstructionPathway$Anonymous6,anonymous,0,0
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\io\ByteSource.java,com.google.common.io.ByteSource$ConcatenatedByteSource,innerclass,3,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\collect\FluentIterableTest.java,com.google.common.collect.FluentIterableTest$A,innerclass,2,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\collect\FluentIterableTest.java,com.google.common.collect.FluentIterableTest$B,innerclass,2,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\collect\ImmutableMapFloodingTest.java,com.google.common.collect.ImmutableMapFloodingTest$ConstructionPathway$Anonymous3,anonymous,1,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\collect\ImmutableMapFloodingTest.java,com.google.common.collect.ImmutableMapFloodingTest$ConstructionPathway$Anonymous4,anonymous,1,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\collect\ImmutableMapFloodingTest.java,com.google.common.collect.ImmutableMapFloodingTest$ConstructionPathway$Anonymous1,anonymous,0,0
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\graph\ElementOrderTest.java,com.google.common.graph.ElementOrderTest,class,9,105
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\collect\ImmutableMapFloodingTest.java,com.google.common.collect.ImmutableMapFloodingTest$ConstructionPathway$Anonymous2,anonymous,0,0
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\cache\CacheBuilderSpec.java,com.google.common.cache.CacheBuilderSpec$ConcurrencyLevelParser,innerclass,3,0
C:\JavaProjects\guava-master\guava-master\guava\src\com\google\common\collect\AllEqualOrdering.java,com.google.common.collect.AllEqualOrdering,class,10,15
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\util\concurrent\JSR166TestCase.java,com.google.common.util.concurrent.JSR166TestCase$CheckedInterruptedRunnable,innerclass,2,1
C:\JavaProjects\guava-master\guava-master\guava-tests\test\com\google\common\collect\HashBasedTableTest.java,com.google.common.collect.HashBasedTableTest,class,11,21
