file,class,type,cbo,lcom
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\core\ChannelFactory.java,com.intuit.karate.core.ChannelFactory,interface,2,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\core\ScenarioRuntimeTest.java,com.intuit.karate.core.ScenarioRuntimeTest,class,15,3291
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\template\KarateEngineContext.java,com.intuit.karate.template.KarateEngineContext,class,17,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-robot\src\main\java\com\intuit\karate\robot\win\IUIAutomationScrollPattern.java,com.intuit.karate.robot.win.IUIAutomationScrollPattern,class,2,28
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-demo\src\main\java\com\intuit\karate\demo\domain\FileInfo.java,com.intuit.karate.demo.domain.FileInfo,class,0,7
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\report\SuiteReports.java,com.intuit.karate.report.SuiteReports$Anonymous1,anonymous,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\ThreadCountTest.java,com.intuit.karate.ThreadCountTest,class,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\driver\ElementFinder.java,com.intuit.karate.driver.ElementFinder,class,8,112
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\graal\JsList.java,com.intuit.karate.graal.JsList,class,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\http\WebSocketProxyRunner.java,com.intuit.karate.http.WebSocketProxyRunner,class,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-playwright\src\main\java\com\intuit\karate\playwright\driver\PlaywrightDriver.java,com.intuit.karate.playwright.driver.PlaywrightDriver$FrameTrait,interface,6,15
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\http\WebSocketServerBase.java,com.intuit.karate.http.WebSocketServerBase$Anonymous1,anonymous,6,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\driver\DriverElementTest.java,com.intuit.karate.driver.DriverElementTest,class,6,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-demo\src\main\java\com\intuit\karate\demo\controller\SignInController.java,com.intuit.karate.demo.controller.SignInController,class,9,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-robot\src\main\java\com\intuit\karate\robot\win\Property.java,com.intuit.karate.robot.win.Property,enum,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\http\HttpServerHandler.java,com.intuit.karate.http.HttpServerHandler$Builder,innerclass,4,2
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-demo\src\main\java\com\intuit\karate\demo\config\TomcatConfig.java,com.intuit.karate.demo.config.TomcatConfig,class,5,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-robot\src\main\java\com\intuit\karate\robot\win\ComAllocatedVarStr.java,com.intuit.karate.robot.win.ComAllocatedVarStr,class,6,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-playwright\src\main\java\com\intuit\karate\playwright\driver\PlaywrightDriver.java,com.intuit.karate.playwright.driver.PlaywrightDriver$WaitForPageLoaded,innerclass,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\graal\JsXml.java,com.intuit.karate.graal.JsXml,class,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\http\LenientTrustManager.java,com.intuit.karate.http.LenientTrustManager,class,1,21
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\StringUtils.java,com.intuit.karate.StringUtils,class,3,184
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\resource\ResourceUtilsTest.java,com.intuit.karate.resource.ResourceUtilsTest,class,7,24
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\examples\consumer-driven-contracts\payment-consumer\src\test\java\payment\consumer\ConsumerIntegrationAgainstMockTest.java,payment.consumer.ConsumerIntegrationAgainstMockTest,class,8,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-robot\src\main\java\com\intuit\karate\robot\win\ComUtils.java,com.intuit.karate.robot.win.ComUtils,class,7,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-demo\src\test\java\mock\contract\Payment.java,mock.contract.Payment,class,0,9
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-demo\src\test\java\mock\contract\QueueUtilsTest.java,mock.contract.QueueUtilsTest,class,7,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\http\ServerHandler.java,com.intuit.karate.http.ServerHandler,interface,2,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-robot\src\test\java\com\intuit\karate\robot\OpenCvUtilsTest.java,com.intuit.karate.robot.OpenCvUtilsTest,class,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\TestUtils.java,com.intuit.karate.TestUtils,class,20,45
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\fatjar\ProxyServerRunner.java,com.intuit.karate.fatjar.ProxyServerRunner,class,5,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-robot\src\main\java\com\intuit\karate\robot\OpenCvUtils.java,com.intuit.karate.robot.OpenCvUtils,class,18,347
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\http\WebSocketClientRunner.java,com.intuit.karate.http.WebSocketClientRunner,class,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\http\HttpClientFactory.java,com.intuit.karate.http.HttpClientFactory,interface,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\fatjar\MainSslRunner.java,com.intuit.karate.fatjar.MainSslRunner,class,2,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-robot\src\test\java\com\intuit\karate\robot\TesseractRunner.java,com.intuit.karate.robot.TesseractRunner,class,10,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-demo\src\main\java\com\intuit\karate\demo\controller\UploadController.java,com.intuit.karate.demo.controller.UploadController,class,19,10
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\core\FeatureSection.java,com.intuit.karate.core.FeatureSection,class,2,8
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\core\ScenarioBridge.java,com.intuit.karate.core.ScenarioBridge,class,51,6899
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\core\ComplexPojo.java,com.intuit.karate.core.ComplexPojo,class,1,20
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-demo\src\main\java\com\intuit\karate\demo\controller\SearchController.java,com.intuit.karate.demo.controller.SearchController,class,8,6
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\template\KaSetElemProcessor.java,com.intuit.karate.template.KaSetElemProcessor,class,10,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-robot\src\main\java\com\intuit\karate\robot\win\WinWindow.java,com.intuit.karate.robot.win.WinWindow,class,5,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\driver\DriverElement.java,com.intuit.karate.driver.DriverElement,class,8,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\core\parajava\ParallelJavaTest.java,com.intuit.karate.core.parajava.ParallelJavaTest,class,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-robot\src\main\java\com\intuit\karate\robot\Location.java,com.intuit.karate.robot.Location,class,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\http\ServerContext.java,com.intuit.karate.http.ServerContext$LogWrapper,innerclass,2,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\Match.java,com.intuit.karate.Match$Value,innerclass,11,355
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\core\Feature.java,com.intuit.karate.core.Feature,class,12,306
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\report\Report.java,com.intuit.karate.report.Report$Builder$Anonymous1,anonymous,1,10
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\XmlUtilsTest.java,com.intuit.karate.XmlUtilsTest,class,6,256
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\MatchStep.java,com.intuit.karate.MatchStep,class,3,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\http\ProxyContext.java,com.intuit.karate.http.ProxyContext,class,3,7
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\examples\profiling-test\src\test\java\perf\Main.java,perf.Main$Anonymous1,anonymous,4,10
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-demo\src\test\java\mock\contract\PaymentServiceContractUsingMockSslTest.java,mock.contract.PaymentServiceContractUsingMockSslTest,class,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\core\Tags.java,com.intuit.karate.core.Tags,class,7,39
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-demo\src\main\java\com\intuit\karate\demo\controller\SoapController.java,com.intuit.karate.demo.controller.SoapController,class,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\driver\playwright\PlaywrightDriver.java,com.intuit.karate.driver.playwright.PlaywrightDriver$Frame,innerclass,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\driver\microsoft\MsEdgeDriver.java,com.intuit.karate.driver.microsoft.MsEdgeDriver,class,5,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-demo\src\main\java\com\intuit\karate\demo\controller\DogsController.java,com.intuit.karate.demo.controller.DogsController,class,10,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\resource\MemoryResource.java,com.intuit.karate.resource.MemoryResource,class,4,13
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\template\KarateWithTagProcessor.java,com.intuit.karate.template.KarateWithTagProcessor,class,11,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-e2e-tests\src\test\java\driver\ServerStarter.java,driver.ServerStarter,class,4,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\core\PerfEvent.java,com.intuit.karate.core.PerfEvent,class,0,23
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\core\features\RemainingFeaturesTest.java,com.intuit.karate.core.features.RemainingFeaturesTest,class,6,4
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-demo\src\main\java\com\intuit\karate\demo\exception\GlobalExceptionHandler.java,com.intuit.karate.demo.exception.GlobalExceptionHandler,class,9,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-playwright\src\test\java\com\intuit\karate\playwright\driver\PlaywrightElementTest.java,com.intuit.karate.playwright.driver.PlaywrightElementTest,class,8,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\shell\CommandTest.java,com.intuit.karate.shell.CommandTest,class,5,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\examples\image-comparison\src\test\java\ui\MockRunner.java,ui.MockRunner,class,5,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\JsonUtils.java,com.intuit.karate.JsonUtils,class,18,392
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\core\MockInterceptor.java,com.intuit.karate.core.MockInterceptor,interface,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\core\CallResponseTest.java,com.intuit.karate.core.CallResponseTest,class,7,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-demo\src\main\java\com\intuit\karate\demo\domain\Greeting.java,com.intuit.karate.demo.domain.Greeting,class,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-robot\src\main\java\com\intuit\karate\robot\RobotUtils.java,com.intuit.karate.robot.RobotUtils$RegionBox,innerclass,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\core\mock\SimpleMockRunner.java,com.intuit.karate.core.mock.SimpleMockRunner,class,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\http\ProxyContextTest.java,com.intuit.karate.http.ProxyContextTest,class,3,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-demo\src\test\java\test\ServerStart.java,test.ServerStart,class,7,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-demo\src\test\java\mock\proxy\DemoMockProxyRunner.java,mock.proxy.DemoMockProxyRunner,class,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\Match.java,com.intuit.karate.Match$ValueType,enum,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\core\ScenarioBridge.java,com.intuit.karate.core.ScenarioBridge$LogWrapper,innerclass,2,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\fatjar\ProxyServerSslTest.java,com.intuit.karate.fatjar.ProxyServerSslTest,class,20,5
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\core\runner\FeatureReuseTest.java,com.intuit.karate.core.runner.FeatureReuseTest,class,9,6
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-demo\src\test\java\driver\demo\Demo01JavaRunner.java,driver.demo.Demo01JavaRunner,class,9,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\http\HttpClientTester.java,com.intuit.karate.http.HttpClientTester,class,7,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-robot\src\main\java\com\intuit\karate\robot\RobotUtils.java,com.intuit.karate.robot.RobotUtils,class,7,4
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\PerfHook.java,com.intuit.karate.PerfHook,interface,4,10
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-demo\src\main\java\com\intuit\karate\demo\controller\GreetingController.java,com.intuit.karate.demo.controller.GreetingController,class,5,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\test\java\com\intuit\karate\core\parser\FeatureParserTest.java,com.intuit.karate.core.parser.FeatureParserTest,class,21,325
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-demo\src\test\java\mock\async\QueueUtils.java,mock.async.QueueUtils,class,9,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-demo\src\test\java\mock\contract\ConsumerUsingProxyHttpTest.java,mock.contract.ConsumerUsingProxyHttpTest,class,8,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-core\src\main\java\com\intuit\karate\http\ServerConfig.java,com.intuit.karate.http.ServerConfig,class,11,435
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\karate\karate-robot\src\main\java\com\intuit\karate\robot\win\IUIAutomationElementArray.java,com.intuit.karate.robot.win.IUIAutomationElementArray,class,2,1
