file,class,type,cbo,lcom
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-1.2-api\src\main\java\org\apache\log4j\helpers\PatternConverter.java,org.apache.log4j.helpers.PatternConverter,class,3,6
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\config\plugins\convert\TypeConverters.java,org.apache.logging.log4j.core.config.plugins.convert.TypeConverters$FileConverter,innerclass,3,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\pattern\PatternParserTest.java,org.apache.logging.log4j.core.pattern.PatternParserTest,class,34,420
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-1.2-api\src\main\java\org\apache\log4j\builders\rolling\TriggeringPolicyBuilder.java,org.apache.log4j.builders.rolling.TriggeringPolicyBuilder,interface,2,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-layout-template-json\src\main\java\org\apache\logging\log4j\layout\template\json\resolver\EndOfBatchResolverFactory.java,org.apache.logging.log4j.layout.template.json.resolver.EndOfBatchResolverFactory,class,7,6
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\config\arbiters\SelectArbiter.java,org.apache.logging.log4j.core.config.arbiters.SelectArbiter$Builder,innerclass,3,1
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-api-test\src\test\java\org\apache\logging\log4j\message\StructuredDataMessageTest.java,org.apache.logging.log4j.message.StructuredDataMessageTest,class,2,21
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\src\site\antora\modules\ROOT\examples\manual\api\LoggerNameTest.java,com.example.LoggerNameTest,class,5,4
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\async\RingBufferLogEvent.java,org.apache.logging.log4j.core.async.RingBufferLogEvent,class,25,858
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-api-test\src\test\java\org\apache\logging\log4j\status\StatusLoggerPropertiesUtilDoubleTest.java,org.apache.logging.log4j.status.StatusLoggerPropertiesUtilDoubleTest,class,7,15
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-1.2-api\src\test\java\org\apache\log4j\spi\LocationInfoTest.java,org.apache.log4j.spi.LocationInfoTest,class,4,1
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-api\src\main\java\org\apache\logging\log4j\status\StatusConsoleListener.java,org.apache.logging.log4j.status.StatusConsoleListener,class,5,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\config\plugins\convert\TypeConverters.java,org.apache.logging.log4j.core.config.plugins.convert.TypeConverters$UrlConverter,innerclass,2,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\async\AsyncLoggerContextSelectorInitialStateTest.java,org.apache.logging.log4j.core.async.AsyncLoggerContextSelectorInitialStateTest,class,3,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\main\java\org\apache\logging\log4j\core\test\BasicConfigurationFactory.java,org.apache.logging.log4j.core.test.BasicConfigurationFactory,class,6,3
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\main\java\org\apache\logging\log4j\core\test\junit\LoggerContextRule.java,org.apache.logging.log4j.core.test.junit.LoggerContextRule$Anonymous1,anonymous,0,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-api\src\main\java\org\apache\logging\log4j\message\StructuredDataCollectionMessage.java,org.apache.logging.log4j.message.StructuredDataCollectionMessage,class,5,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\util\internal\instant\InstantPatternDynamicFormatter.java,org.apache.logging.log4j.core.util.internal.instant.InstantPatternDynamicFormatter$SecondPatternSequence$Anonymous7,anonymous,1,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-api-test\src\test\java\org\apache\logging\log4j\spi\LoggerAdapterTest.java,org.apache.logging.log4j.spi.LoggerAdapterTest$TestLoggerAdapter2,innerclass,4,3
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\config\ConfiguratorErrorTest.java,org.apache.logging.log4j.core.config.ConfiguratorErrorTest,class,4,1
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\util\internal\instant\InstantPatternDynamicFormatter.java,org.apache.logging.log4j.core.util.internal.instant.InstantPatternDynamicFormatter$SecondPatternSequence$Anonymous9,anonymous,1,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-layout-template-json\src\main\java\org\apache\logging\log4j\layout\template\json\util\DummyRecyclerFactory.java,org.apache.logging.log4j.layout.template.json.util.DummyRecyclerFactory,class,5,3
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\util\Booleans.java,org.apache.logging.log4j.core.util.Booleans,class,0,1
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\util\internal\instant\InstantPatternDynamicFormatter.java,org.apache.logging.log4j.core.util.internal.instant.InstantPatternDynamicFormatter$SecondPatternSequence$Anonymous8,anonymous,1,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\config\plugins\convert\DateTypeConverter.java,org.apache.logging.log4j.core.config.plugins.convert.DateTypeConverter,class,1,1
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\net\TcpSocketManager.java,org.apache.logging.log4j.core.net.TcpSocketManager,class,13,36
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\layout\GelfLayout3Test.java,org.apache.logging.log4j.core.layout.GelfLayout3Test,class,11,1
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core\src\main\java\org\apache\logging\log4j\core\jmx\Server.java,org.apache.logging.log4j.core.jmx.Server,class,19,226
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-perf-test\src\main\java\org\apache\logging\log4j\perf\jmh\ParameterizedMessageBenchmark.java,org.apache.logging.log4j.perf.jmh.ParameterizedMessageBenchmark,class,6,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-perf-test\src\main\java\org\apache\logging\log4j\perf\jmh\AsyncAppenderLog4j2Benchmark.java,org.apache.logging.log4j.perf.jmh.AsyncAppenderLog4j2Benchmark,class,13,0
C:\JavaProjects\logging-log4j2-2.x\logging-log4j2-2.x\log4j-core-test\src\test\java\org\apache\logging\log4j\core\tools\GenerateCustomLoggerTest.java,org.apache.logging.log4j.core.tools.GenerateCustomLoggerTest,class,14,1
