file,class,type,cbo,lcom
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\api\RJsonStore.java,org.redisson.api.RJsonStore,interface,13,3403
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\api\listener\SetAddListener.java,org.redisson.api.listener.SetAddListener,interface,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\api\search\aggregate\GroupParams.java,org.redisson.api.search.aggregate.GroupParams,class,3,2
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\client\handler\CommandBatchEncoder.java,org.redisson.client.handler.CommandBatchEncoder,class,9,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\config\EntraIdCredentialsResolver.java,org.redisson.config.EntraIdCredentialsResolver$Anonymous1,anonymous,2,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\PubSubPatternMessageListener.java,org.redisson.PubSubPatternMessageListener,class,4,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\api\IdGenerator.java,org.redisson.api.IdGenerator,interface,2,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\client\protocol\convertor\LongNumberConvertor.java,org.redisson.client.protocol.convertor.LongNumberConvertor,class,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson-hibernate\redisson-hibernate-7\src\test\java\org\redisson\hibernate\ItemReadWrite.java,ItemReadWrite,class,17,26
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson-hibernate\redisson-hibernate-7\src\main\java\org\redisson\hibernate\JndiRedissonRegionFactory.java,JndiRedissonRegionFactory,class,6,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\test\java\org\redisson\RedissonLiveObjectServiceTest.java,org.redisson.RedissonLiveObjectServiceTest$Order,innerclass,5,4
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\api\RSortableAsync.java,org.redisson.api.RSortableAsync,interface,4,153
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\api\queue\QueueRemoveParams.java,org.redisson.api.queue.QueueRemoveParams,class,2,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson-quarkus\redisson-quarkus-30\cdi\runtime\src\main\java\io\quarkus\redisson\client\runtime\RedissonClientProducer.java,RedissonClientProducer,class,14,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\test\java\org\redisson\RedissonSemaphoreTest.java,org.redisson.RedissonSemaphoreTest$Anonymous2,anonymous,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\test\java\org\redisson\RedissonSemaphoreTest.java,org.redisson.RedissonSemaphoreTest$Anonymous1,anonymous,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\codec\MsgPackJacksonCodec.java,org.redisson.codec.MsgPackJacksonCodec,class,4,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\reactive\RedissonTransactionReactive.java,org.redisson.reactive.RedissonTransactionReactive,class,23,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\api\options\ExMapOptions.java,org.redisson.api.options.ExMapOptions,interface,11,36
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\spring\cache\NullValue.java,org.redisson.spring.cache.NullValue,class,2,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\test\java\org\redisson\RedissonRunnable.java,org.redisson.RedissonRunnable,interface,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\test\java\org\redisson\RedissonSemaphoreTest.java,org.redisson.RedissonSemaphoreTest$Anonymous3,anonymous,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\api\RObject.java,org.redisson.api.RObject,interface,5,351
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\pubsub\PublishSubscribe.java,org.redisson.pubsub.PublishSubscribe,class,9,16
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\transaction\operation\ExpireOperation.java,org.redisson.transaction.operation.ExpireOperation$RedissonBucketExtended,innerclass,3,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\test\java\org\redisson\rx\RedissonTopicRxTest.java,org.redisson.rx.RedissonTopicRxTest$Anonymous3,anonymous,1,6
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\liveobject\LiveObjectTemplate.java,org.redisson.liveobject.LiveObjectTemplate,class,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\test\java\org\redisson\RedissonLiveObjectServiceTest.java,org.redisson.RedissonLiveObjectServiceTest$TestClass,innerclass,7,54
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\test\java\org\redisson\rx\RedissonTopicRxTest.java,org.redisson.rx.RedissonTopicRxTest$Anonymous2,anonymous,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson-spring-data\redisson-spring-data-40\src\main\java\org\redisson\spring\data\connection\RedissonReactiveScriptingCommands.java,RedissonReactiveScriptingCommands,class,15,36
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson-spring-data\redisson-spring-data-40\src\test\java\org\redisson\spring\data\connection\RedissonReactiveKeyCommandsTest.java,RedissonReactiveKeyCommandsTest,class,5,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\connection\RedisClientEntry.java,org.redisson.connection.RedisClientEntry,class,11,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\misc\AsyncSemaphore.java,org.redisson.misc.AsyncSemaphore,class,2,9
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\cache\ExpirableValue.java,org.redisson.cache.ExpirableValue,interface,0,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\test\java\org\redisson\rx\RedissonTopicRxTest.java,org.redisson.rx.RedissonTopicRxTest$Anonymous1,anonymous,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson-spring-data\redisson-spring-data-34\src\test\java\org\redisson\spring\data\connection\RedissonMultiConnectionTest.java,org.redisson.spring.data.connection.RedissonMultiConnectionTest$Anonymous2,anonymous,2,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\client\protocol\decoder\StreamEntryStatusDecoder.java,org.redisson.client.protocol.decoder.StreamEntryStatusDecoder,class,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson-spring-data\redisson-spring-data-34\src\test\java\org\redisson\spring\data\connection\RedissonMultiConnectionTest.java,org.redisson.spring.data.connection.RedissonMultiConnectionTest$Anonymous1,anonymous,2,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\api\search\index\FieldIndex.java,org.redisson.api.search.index.FieldIndex,interface,16,28
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\api\FunctionStats.java,org.redisson.api.FunctionStats$Engine,innerclass,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\test\java\org\redisson\rx\RedissonBatchRxTest.java,org.redisson.rx.RedissonBatchRxTest$Anonymous1,anonymous,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\RedissonExecutorService.java,org.redisson.RedissonExecutorService$ClassBody,innerclass,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\client\protocol\convertor\NumberConvertor.java,org.redisson.client.protocol.convertor.NumberConvertor,class,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\api\search\index\NumericIndexParams.java,org.redisson.api.search.index.NumericIndexParams,class,3,35
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\connection\ConnectionEventsHub.java,org.redisson.connection.ConnectionEventsHub,class,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\client\codec\DoubleCodec.java,org.redisson.client.codec.DoubleCodec,class,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\api\RBoundedBlockingQueueAsync.java,org.redisson.api.RBoundedBlockingQueueAsync,interface,3,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson-spring-data\redisson-spring-data-40\src\main\java\org\redisson\spring\data\connection\RedissonBaseReactive.java,RedissonBaseReactive,class,16,8
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\RedissonSubSortedSet.java,org.redisson.RedissonSubSortedSet,class,6,251
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\api\queue\event\FullEventListener.java,org.redisson.api.queue.event.FullEventListener,interface,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\api\RAtomicLongAsync.java,org.redisson.api.RAtomicLongAsync,interface,3,91
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson-hibernate\redisson-hibernate-7\src\test\java\org\redisson\hibernate\CollectionTest.java,A,innerclass,12,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\client\protocol\decoder\GeoDistanceDecoder.java,org.redisson.client.protocol.decoder.GeoDistanceDecoder,class,5,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson-hibernate\redisson-hibernate-7\src\test\java\org\redisson\hibernate\CollectionTest.java,B,innerclass,5,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\test\java\org\redisson\RedissonScriptTest.java,org.redisson.RedissonScriptTest$Anonymous1,anonymous,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\api\queue\DequeMoveParams.java,org.redisson.api.queue.DequeMoveParams$Direction,enum,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\api\Message.java,org.redisson.api.Message,class,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson-tomcat\redisson-tomcat-10\src\test\java\org\redisson\tomcat\TomcatServer.java,org.redisson.tomcat.TomcatServer,class,5,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\test\java\org\redisson\RedissonScriptTest.java,org.redisson.RedissonScriptTest$Anonymous2,anonymous,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\transaction\operation\map\MapCacheFastPutIfAbsentOperation.java,org.redisson.transaction.operation.map.MapCacheFastPutIfAbsentOperation,class,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\test\java\org\redisson\RedissonMapCacheTest.java,org.redisson.RedissonMapCacheTest$Anonymous11,anonymous,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\api\vector\VectorAddArgs.java,org.redisson.api.vector.VectorAddArgs$ElementStep,interface,2,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\test\java\org\redisson\RedissonMapCacheTest.java,org.redisson.RedissonMapCacheTest$Anonymous10,anonymous,0,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson-tomcat\redisson-tomcat-9\src\main\java\org\redisson\tomcat\RedissonSessionManager.java,ReadMode,enum,0,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\mapreduce\BaseMapperTask.java,org.redisson.mapreduce.BaseMapperTask,class,2,19
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\transaction\RedissonTransactionalLocalCachedMap.java,org.redisson.transaction.RedissonTransactionalLocalCachedMap,class,8,45
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\api\RBitSetRx.java,org.redisson.api.RBitSetRx,interface,6,780
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\rx\RedissonTransferQueueRx.java,org.redisson.rx.RedissonTransferQueueRx,class,9,4
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\redisson\redisson\src\main\java\org\redisson\api\RPermitExpirableSemaphoreRx.java,org.redisson.api.RPermitExpirableSemaphoreRx,interface,4,210
