file,class,type,cbo,lcom
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\entity\living\monster\guardian\Guardian.java,org.spongepowered.api.entity.living.monster.guardian.Guardian,interface,2,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\item\inventory\ItemStackGenerator.java,org.spongepowered.api.item.inventory.ItemStackGenerator,interface,7,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\scoreboard\CollisionRule.java,org.spongepowered.api.scoreboard.CollisionRule,interface,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\world\ChunkRegenerateFlag.java,org.spongepowered.api.world.ChunkRegenerateFlag,interface,4,15
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\world\generation\structure\Structures.java,org.spongepowered.api.world.generation.structure.Structures,class,6,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\world\volume\stream\VolumeApplicator.java,org.spongepowered.api.world.volume.stream.VolumeApplicator,interface,5,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\data\persistence\DataFormat.java,org.spongepowered.api.data.persistence.DataFormat,interface,5,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\world\weather\WeatherUniverse.java,org.spongepowered.api.world.weather.WeatherUniverse,interface,2,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\world\biome\climate\Precipitations.java,org.spongepowered.api.world.biome.climate.Precipitations,class,6,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\entity\living\animal\Wolf.java,org.spongepowered.api.entity.living.animal.Wolf,interface,3,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\service\permission\PermissionService.java,org.spongepowered.api.service.permission.PermissionService,interface,10,103
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\service\context\ContextSource.java,org.spongepowered.api.service.context.ContextSource,interface,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\advancement\AdvancementType.java,org.spongepowered.api.advancement.AdvancementType,interface,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\event\network\rcon\RconConnectionEvent.java,org.spongepowered.api.event.network.rcon.RconConnectionEvent,interface,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\placeholder\PlaceholderContext.java,org.spongepowered.api.placeholder.PlaceholderContext$Builder,interface,5,10
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\command\parameter\managed\ValueParameter.java,org.spongepowered.api.command.parameter.managed.ValueParameter$Simple,interface,9,6
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\advancement\criteria\trigger\Triggers.java,org.spongepowered.api.advancement.criteria.trigger.Triggers,class,6,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\event\block\entity\CookingEvent.java,org.spongepowered.api.event.block.entity.CookingEvent$Tick,interface,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\world\volume\archetype\entity\EntityArchetypeVolume.java,org.spongepowered.api.world.volume.archetype.entity.EntityArchetypeVolume$Streamable,interface,8,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\command\registrar\tree\CommandTreeNodeType.java,org.spongepowered.api.command.registrar.tree.CommandTreeNodeType,interface,6,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\event\message\PlayerChatEvent.java,org.spongepowered.api.event.message.PlayerChatEvent,interface,5,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\entity\ai\goal\builtin\creature\RangedAttackAgainstAgentGoal.java,org.spongepowered.api.entity.ai.goal.builtin.creature.RangedAttackAgainstAgentGoal$Builder,interface,5,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\event\lifecycle\StoppingEngineEvent.java,org.spongepowered.api.event.lifecycle.StoppingEngineEvent,interface,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\block\BlockState.java,org.spongepowered.api.block.BlockState,interface,11,66
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\event\impl\entity\AbstractDamageEntityEvent.java,org.spongepowered.api.event.impl.entity.AbstractDamageEntityEvent,class,9,63
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\event\cause\entity\damage\source\DamageSource.java,org.spongepowered.api.event.cause.entity.damage.source.DamageSource$Factory,interface,1,36
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\command\exception\ArgumentParseException.java,org.spongepowered.api.command.exception.ArgumentParseException,class,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\world\volume\Volume.java,org.spongepowered.api.world.volume.Volume,interface,2,21
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\statistic\StatisticCategory.java,org.spongepowered.api.statistic.StatisticCategory,interface,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\world\weather\WeatherTypes.java,org.spongepowered.api.world.weather.WeatherTypes,class,6,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\data\value\MapValue.java,org.spongepowered.api.data.value.MapValue,interface,9,91
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\world\volume\stream\VolumeCollectors.java,org.spongepowered.api.world.volume.stream.VolumeCollectors,class,18,36
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\entity\living\monster\boss\Wither.java,org.spongepowered.api.entity.living.monster.boss.Wither,interface,7,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\world\volume\block\BlockVolume.java,org.spongepowered.api.world.volume.block.BlockVolume$Unmodifiable,interface,5,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\item\enchantment\EnchantmentType.java,org.spongepowered.api.item.enchantment.EnchantmentType,interface,7,45
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\data\type\RaidStatus.java,org.spongepowered.api.data.type.RaidStatus,interface,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\data\DataManipulator.java,org.spongepowered.api.data.DataManipulator$Mutable$Factory,interface,3,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\util\blockray\RayTrace.java,org.spongepowered.api.util.blockray.RayTrace$Factory,interface,3,6
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\MinecraftVersion.java,org.spongepowered.api.MinecraftVersion,interface,1,15
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\advancement\AdvancementTypes.java,org.spongepowered.api.advancement.AdvancementTypes,class,6,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\item\FireworkEffect.java,org.spongepowered.api.item.FireworkEffect$Builder,interface,6,55
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\event\entity\explosive\DetonateExplosiveEvent.java,org.spongepowered.api.event.entity.explosive.DetonateExplosiveEvent,interface,5,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\event\cause\entity\damage\source\DamageSource.java,org.spongepowered.api.event.cause.entity.damage.source.DamageSource$Builder,interface,9,21
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\event\action\CollideEvent.java,org.spongepowered.api.event.action.CollideEvent,interface,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\world\biome\ambient\ParticleConfig.java,org.spongepowered.api.world.biome.ambient.ParticleConfig,interface,3,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\data\type\SlabPortion.java,org.spongepowered.api.data.type.SlabPortion,interface,5,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\item\FireworkShape.java,org.spongepowered.api.item.FireworkShape,interface,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\world\generation\config\SurfaceRule.java,org.spongepowered.api.world.generation.config.SurfaceRule$Factory,interface,5,561
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\event\entity\explosive\PrimeExplosiveEvent.java,org.spongepowered.api.event.entity.explosive.PrimeExplosiveEvent$Post,interface,1,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\effect\ForwardingViewer.java,org.spongepowered.api.effect.ForwardingViewer,interface,7,15
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\entity\living\monster\raider\illager\Pillager.java,org.spongepowered.api.entity.living.monster.raider.illager.Pillager,interface,4,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\util\weighted\UnmodifiableWeightedTable.java,org.spongepowered.api.util.weighted.UnmodifiableWeightedTable,class,9,66
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\command\exception\CommandNotFoundException.java,org.spongepowered.api.command.exception.CommandNotFoundException,class,2,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\data\type\BodyPart.java,org.spongepowered.api.data.type.BodyPart,interface,3,0
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\adventure\ChatTypes.java,org.spongepowered.api.adventure.ChatTypes,class,6,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\command\selector\SelectorTypes.java,org.spongepowered.api.command.selector.SelectorTypes,class,6,3
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\item\recipe\crafting\SpecialCraftingRecipe.java,org.spongepowered.api.item.recipe.crafting.SpecialCraftingRecipe$Builder$EndStep,interface,5,1
C:\Users\Yamini parvathaneni\Documents\groupAssignment2\SpongeAPI\src\main\java\org\spongepowered\api\state\StateMatcher.java,org.spongepowered.api.state.StateMatcher$Factory,interface,5,1
